name,category,price,stock,monthly_demand
Rice,Grains & Flour,60,480,320
Wheat Flour,Grains & Flour,45,520,380
Poha,Grains & Flour,50,140,90
Semolina (Suji),Grains & Flour,48,120,80
Gram Flour (Besan),Grains & Flour,90,160,110
Maida,Grains & Flour,42,150,100
Toor Dal,Daal & Pulses,130,240,160
Moong Dal,Daal & Pulses,120,190,130
Chana Dal,Daal & Pulses,95,180,120
Masoor Dal,Daal & Pulses,100,165,110
Rajma,Daal & Pulses,140,100,70
White Chickpeas (Chole),Daal & Pulses,110,135,90
Mustard Oil,Oil & Ghee,150,330,220
Sunflower Oil,Oil & Ghee,140,300,200
Refined Oil,Oil & Ghee,135,360,240
Desi Ghee,Oil & Ghee,550,140,95
Vanaspati,Oil & Ghee,120,120,80
Sugar,Sugar & Salt,45,450,300
Jaggery (Gud),Sugar & Salt,55,135,90
Salt,Sugar & Salt,22,420,280
Turmeric Powder,Spices,220,180,120
Red Chilli Powder,Spices,260,165,110
Coriander Powder,Spices,180,150,100
Garam Masala,Spices,320,105,70
Cumin Seeds (Jeera),Spices,380,128,85
Mustard Seeds (Sarso),Spices,140,112,75
Black Pepper,Spices,600,75,50
Tea Leaves,Tea & Coffee,260,345,230
Coffee Powder,Tea & Coffee,300,135,90
Glucose Biscuits,Biscuits & Snacks,10,540,360
Marie Biscuits,Biscuits & Snacks,30,270,180
Salted Namkeen,Biscuits & Snacks,40,300,200
Potato Chips,Biscuits & Snacks,20,360,240
Rusk Toast,Biscuits & Snacks,50,165,110
Detergent Powder,Cleaning,110,315,210
Dishwash Bar,Cleaning,15,345,230
Toilet Cleaner,Cleaning,85,180,120
Floor Cleaner (Phenyl),Cleaning,75,150,100
Bathing Soap,Cleaning,35,390,260
Toothpaste,Personal Care,55,285,190
Shampoo Sachet,Personal Care,3,480,320
Hair Oil,Personal Care,90,210,140
Face Cream,Personal Care,65,150,100
Soft Drink,Beverages,40,375,250
Fruit Juice,Beverages,35,225,150
Milk Packet,Dairy & Bakery,28,600,400
Bread,Dairy & Bakery,40,450,300
Butter,Dairy & Bakery,55,195,130
Paneer,Dairy & Bakery,80,165,110
Curd,Dairy & Bakery,30,330,220
